Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
0,6834,0,4,691,2777,244641,0,4,512,0,4,0,15
2,5785,0,3,578,3006,243554,0,6,1471,1,121,2,7
0,6930,0,2,593,3532,244647,0,13,594,0,9,0,48
0,6788,0,7,676,3432,244636,0,2,518,0,11,0,12
2,5833,0,1,456,3504,243644,3,43,1575,2,85,0,112
3,5886,0,6,754,2705,243364,0,4,1591,0,70,0,43
0,6870,0,5,550,3663,244577,0,8,672,1,26,0,41
0,6722,0,4,653,2800,244467,4,6,673,1,27,0,30
2,5688,0,2,550,3315,243646,0,10,1566,0,44,0,101
0,6595,0,4,706,3058,244585,0,8,554,1,3,0,99
0,5940,0,4,646,2721,243959,0,8,977,2,133,1,58
0,6827,0,1,698,2888,244867,1,4,274,2,5,0,51
3,5792,0,0,590,3616,243429,1,11,1755,0,37,0,104
1,6408,0,2,475,2999,244209,1,2,1132,0,17,0,32
0,6466,0,3,499,3667,244206,1,32,1046,0,50,0,107
0,6441,0,1,621,3267,244347,0,10,816,0,34,0,111
1,5825,0,3,544,2860,244444,0,18,763,2,49,0,119
0,6608,0,2,679,2873,244633,0,4,502,0,19,0,80
0,6421,0,4,884,3082,244382,2,12,562,0,11,0,116
0,6663,0,2,554,3642,244294,0,23,1004,3,2,0,88
1,6101,0,1,614,3252,243941,3,12,1173,0,60,0,118
1,6135,0,4,592,3612,243804,0,8,1333,0,60,1,113
0,7276,0,1,755,2700,244477,1,8,585,0,17,0,98
0,6924,0,6,531,3690,244685,0,5,584,0,26,0,109
1,5945,0,4,686,2773,243894,3,4,1192,0,38,0,19
1,5743,0,2,630,3012,243812,2,13,1367,0,20,0,121
0,6451,0,1,537,3492,244400,0,23,855,0,30,0,95
2,5470,0,1,711,3157,243218,0,10,1514,1,202,1,120
0,6346,0,1,692,3304,244171,3,4,928,0,29,0,67
0,7012,0,1,630,3560,244673,2,16,547,0,0,0,127
0,7382,0,3,562,3592,245290,0,0,0,0,0,0,243
