avg_path_dir,diameter,nb_edges,Cascade,FFL,Fan-In,Fan-Out,Mutual-In,Mutual-Out,Regulating-Mutual,total_error,graph_id
-0.012743155121065507,0.043478260869565216,0.0024798512089274642,0.02279632354346206,-0.19760956175298805,-0.187548739277359,0.012260486310835544,-0.45493107104984093,-0.2992200875023778,-0.1872146118721461,1.4202821485085677,44
-0.022398569352855623,0.043478260869565216,0.0022736668044646548,0.04327165921463716,-0.2174969623329283,-0.11331789935420981,0.012896482862235327,-0.3570722057368942,-0.3144726712856043,-0.3829787234042553,1.50965710121765,79
-0.0006125708285019781,0.0,0.0017578326956881399,0.016103276449198685,-0.23958762886597937,-0.12879115448761505,0.007310572645882993,-0.29924242424242425,-0.08516047028916428,0.018867924528301886,0.7974338550327565,28
-0.011880530973451249,0.0,0.0017578326956881399,0.02389677813406627,-0.12080536912751678,-0.1080523890371089,0.005350359198104337,-0.31166347992351817,-0.08292373553194862,0.1875,0.8538304746214025,10
-0.016987970560113853,0.043478260869565216,0.0015513496742165685,0.020662977077309026,-0.11168639053254438,-0.20608520608520609,0.01043089415682826,-0.3971486761710794,-0.24385357858313603,-0.3333333333333333,1.385218637043332,6
0.0013428387392600896,0.08333333333333333,0.002376769660018601,0.01138626302460902,-0.0781922525107604,-0.2039397832460388,0.01173909590743258,-0.43664921465968587,-0.31955177743431223,-0.21495327102803738,1.3634645995434882,17
0.0215533378258405,0.08333333333333333,0.0018610421836228288,-0.02177822177822178,-0.11374583178955168,-0.22537383490913968,0.011392736312828278,-0.5555555555555556,-0.36545381847261094,0.20245398773006135,1.6025016998907657,8
-0.005883064471788744,0.0,0.002067397146991937,0.017879433849935664,-0.06557958170861397,-0.13956098777750062,0.00890104844981214,-0.32432432432432434,-0.23508137432188064,0.12457912457912458,0.9238563366299726,76
-0.010148528518579857,0.043478260869565216,0.0018610421836228288,-0.01339568801521877,-0.14908256880733944,-0.18030033909252383,0.004156448143249184,-0.31669865642994244,-0.03141045001510118,0.21686746987951808,0.9673994519546607,72
-0.0073896236908472124,0.043478260869565216,0.003200826019617966,0.05219067388242272,0.012483574244415242,-0.10207158580345566,0.011078493698814555,-0.3678963110667996,-0.41642472003318126,0.1095890410958904,1.12580311040501,27
