assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.2065,-0.0123,0.0179,-0.0037,0.6365,0.8525,16.4185,1.7043,2.0769,0.0008761,4,4,76929,9371,59
-0.1192,-0.0057,-0.0528,-0.0053,0.6124,0.8298,16.4185,1.6959,2.0957,0.0008761,4,4,76929,9371,39
-0.1665,-0.0066,0.0063,0.0012,0.5812,0.8244,16.4185,1.7052,2.0634,0.0008761,4,4,76929,9371,72
-0.1156,-0.0098,-0.1221,-0.0111,0.5969,0.8528,16.4185,1.7343,2.1065,0.0008761,4,4,76929,9371,120
-0.1182,-0.0033,-0.1119,-0.0072,0.6539,0.8998,16.4185,1.7529,2.0852,0.0008761,4,4,76929,9371,74
-0.0981,-0.0084,-0.0893,0.0011,0.6148,0.8122,16.4185,1.7214,2.0925,0.0008761,4,4,76929,9371,86
-0.0732,-0.0033,-0.0478,-0.0045,0.6052,0.8616,16.4185,1.7213,2.0923,0.0008761,4,4,76929,9371,126
-0.1987,-0.008,-0.0908,-0.007,0.5959,0.8215,16.4185,1.7134,2.0605,0.0008761,3,4,76929,9371,122
-0.1451,-0.007,-0.0601,-0.005,0.6343,0.8308,16.4185,1.7458,2.0817,0.0008761,4,4,76929,9371,91
-0.1529,-0.0049,-0.1904,-0.0086,0.6759,0.8838,16.4185,1.7473,2.076,0.0008761,4,4,76929,9371,18
-0.0971,-0.0028,-0.0858,-0.0016,0.6527,0.8537,16.4185,1.738,2.1158,0.0008761,4,4,76929,9371,70
-0.1417,-0.0082,0.0313,-0.0013,0.5846,0.8168,16.4185,1.7282,2.1088,0.0008761,4,4,76929,9371,22
-0.1142,-0.0061,-0.0144,-0.0031,0.6274,0.8209,16.4185,1.7108,2.06,0.0008761,4,4,76929,9371,24
-0.0744,-0.0013,-0.0379,-0.003,0.6212,0.8779,16.4185,1.7285,2.0841,0.0008761,4,4,76929,9371,85
-0.0582,-0.0028,0.0498,0.0011,0.5966,0.8169,16.4185,1.7359,2.1056,0.0008761,4,4,76929,9371,88
-0.1252,-0.0083,-0.045,-0.0002,0.6257,0.8491,16.4185,1.7145,2.0842,0.0008761,4,4,76929,9371,114
-0.0809,-0.0032,-0.0112,-0.0017,0.6603,0.8515,16.4185,1.7367,2.0858,0.0008761,4,4,76929,9371,56
-0.1835,-0.0068,-0.0712,-0.0024,0.6019,0.8182,16.4185,1.7306,2.0714,0.0008761,4,4,76929,9371,64
-0.0514,-0.0011,-0.0503,-0.0023,0.6178,0.8447,16.4185,1.7241,2.0898,0.0008761,4,4,76929,9371,125
-0.1039,-0.0025,-0.1136,-0.0092,0.6524,0.9079,16.4185,1.7352,2.0794,0.0008761,4,4,76929,9371,115
-0.1126,-0.0061,-0.1341,-0.0056,0.633,0.8489,16.4185,1.7274,2.0728,0.0008761,4,4,76929,9371,28
-0.0422,-0.0033,-0.0251,-0.0003,0.6462,0.8244,16.4185,1.7869,2.112,0.0008761,5,4,76929,9371,100
-0.1345,-0.0093,-0.0875,-0.0056,0.6127,0.8367,16.4185,1.7032,2.083,0.0008761,4,4,76929,9371,57
-0.0687,-0.0023,-0.1516,-0.0062,0.6042,0.8123,16.4185,1.7321,2.1067,0.0008761,4,4,76929,9371,48
-0.0805,-0.0049,-0.0361,-0.0057,0.6342,0.8484,16.4185,1.7191,2.0945,0.0008761,4,4,76929,9371,26
-0.114,-0.0042,-0.0639,-0.0078,0.6422,0.8341,16.4185,1.7627,2.0934,0.0008761,4,4,76929,9371,97
-0.0631,-0.0047,0.0062,0.0008,0.6268,0.8091,16.4185,1.7408,2.1031,0.0008761,4,4,76929,9371,49
-0.1304,-0.0084,0.0528,-0.0012,0.5974,0.8177,16.4185,1.7551,2.0841,0.0008761,4,4,76929,9371,16
-0.0693,-0.0031,-0.0729,-0.0062,0.6128,0.8475,16.4185,1.7243,2.0986,0.0008761,4,4,76929,9371,5
-0.0949,-0.0066,-0.0797,-0.0052,0.6303,0.8685,16.4185,1.6804,2.0873,0.0008761,3,4,76929,9371,11
-0.1868,-0.0063,0.0057,0.002,0.6857,0.8431,16.4185,1.7245,2.0686,0.0008761,4,4,76929,9371,87
-0.1295,-0.0076,0.0078,-0.0038,0.6178,0.8339,16.4185,1.7243,2.1007,0.0008761,4,4,76929,9371,69
-0.1421,-0.0035,-0.0241,-0.0046,0.6284,0.8224,16.4185,1.6999,2.0706,0.0008761,4,4,76929,9371,71
-0.1128,-0.0059,-0.0828,-0.0028,0.668,0.8657,16.4185,1.6957,2.0912,0.0008761,4,4,76929,9371,117
-0.0812,-0.0017,0.004,0.0012,0.6215,0.8235,16.4185,1.7717,2.0681,0.0008761,5,4,76929,9371,12
-0.2438,-0.0095,0.0921,-0.0015,0.6052,0.8248,16.4185,1.7281,2.0574,0.0008761,4,4,76929,9371,10
-0.0802,-0.0004,0.0456,0.0018,0.5856,0.838,16.4185,1.7434,2.0824,0.0008761,4,4,76929,9371,41
-0.1122,-0.0103,0.0757,-0.0,0.6315,0.8613,16.4185,1.7236,2.0837,0.0008761,4,4,76929,9371,43
-0.1309,-0.0072,-0.0153,-0.0033,0.5984,0.8277,16.4185,1.7184,2.0818,0.0008761,4,4,76929,9371,105
-0.1182,-0.0065,0.0245,0.0001,0.6167,0.852,16.4185,1.7196,2.0769,0.0008761,4,4,76929,9371,8
-0.012,-0.001,0.0349,0.0019,0.6074,0.8191,16.4185,1.732,2.1125,0.0008761,4,4,76929,9371,103
-0.0878,-0.0057,-0.0336,-0.0025,0.6351,0.8723,16.4185,1.7173,2.0856,0.0008761,4,4,76929,9371,93
-0.0515,-0.0041,-0.0997,-0.0058,0.6042,0.8337,16.4185,1.7249,2.0988,0.0008761,4,4,76929,9371,4
